HINDI,English
प्रावधान,Provision
पचास,fifty
नागरिक,citizen
नेहरू,Nehru
देन,give
गिरने,falling
गहरे,deep
उपन्यास,Novel
इलाके,the areas
आन्तरिक,internal
हिन्दुस्तान,Hindustan
संसद,Parliament
स्वीकृति,Acceptance
संपर्क,Contact
विभाजन,Division
लौटने,to return
यूरोप,Europe
मंच,stage
भाग्य,Luck
बेहद,extremely
बुलाया,called
पाए,got
प्रयोगशाला,the laboratory
प्रमाणित,certified
प्रभावशाली,Impressive
जीत,Victory
जानवरों,animals
गुस्से,anger
गर्दन,Neck
गुरू,Guru
अधिकतम,Maximum
सृष्टि,Nature
शिक्षित,Educated
शहद,Honey
वरन,Rather
रोम,Rome
बदन,body
फैला,spread
फेंक,throw
पिछड़े,backward
परिश्रम,labor
परिवारों,families
परिभाषा,Definition
प्रारम्भिक,initial
पुरुषों,men
निरीक्षण,inspection
दास,Slave
देव,God
ताकत,Strength
तंत्र,Mechanism
तत्कालीन,contemporaneous
तकनीक,Technique
चलाने,run
गठन,Build
अनुभूति,Feeling
हिन्दुओं,Hindus
हिंदू,Hindu
हालांकि,Although
सामूहिक,the collective
सरकारों,governments
संयंत्र,plant
सुंदर,Beautiful
सृजन,creation
वैसी,like that
लावनी,harvest
लक्षणों,symptoms
राहुलजी,Rahul ji
युवा,Youth
मूर्ति,statue
बेर,Berry
पाण्डु,Pandu
ध्रुपद,Dhrupad
तथ्यों,facts
ढेर,heap
जायें,go to
ग्रन्थों,scriptures
गणित,Mathematic
कहानियों,stories
अशोक,Ashoka
साबित,proved
समझना,Understand
संज्ञा,Noun
शांत,Calm
श्रीलंका,Sri Lanka
श्रमिक,workers
शर्त,Condition
लिपि,Script
मानवीय,human
पक्षियों,birds
निवासी,Resident
तुलनात्मक,comparative
चमक,Glow
गोल,Round
खाकर,after eating
कोट,Coat
इंच,inches
आसन,Posture
अकेला,alone
शर्मा,Sharma
विश्वविद्यालय,university
विधायक,Legislator
वर्मा,Varma
वैद्य,Vaidya
राजस्थानी,Rajasthani
मानना,Accept
भरपूर,abundant
भगत,follower
बस्ती,colony
बैठने,to sit
प्रतिभा,Talent
प्रजा,People
प्रकोप,the outbreak
नायक,hero
दोस्त,Friend
तिवारी,Tiwari
घड़ी,Watch
गलती,Mistake
कार्बन,Carbon
उपचार,treatment
ईसाई,Christian
आवेदन,Application
आयुर्वेद,Ayurveda
आदर,Respect
अत्याचार,Atrocity
हिमालय,Himalaya
हंस,Swan
सोचता,thinking
विश्वनाथ,Vishwanath
वेतन,Salary
मथुरा,Mathura
भाभी,Sister in law
भेजे,send
ब्यूरो,Bureau
बनती,Banti
पक्षों,sides
घरेलू,domestic
गणना,Calculation
कहलाता,called
कलावती,Kalavati
करना,to do
उदाहरणार्थ,for example
उड़,fly
आघात,the strokes
हमला,assault
व्यावसायिक,commercial
लोकप्रिय,popular
रेलवे,railway
मिश्रित,miscellaneous
महान,Great
मेहनत,Hard work
बिन्दु,the dot
फलतः,as a result
प्रोफेसर,professor
प्रचलन,the trend
औसत,average
एकाएक,suddenly
उपस्थिति,appearance
उन्नति,Development
आधे,half of
अली,Ali
सरस्वती,Saraswati
समर्थ,capable
सम्भवतः,possibly
सड़कों,roads
विशेषज्ञ,expert
विद्रोह,Rebellion
वात,vata
व्यस्त,Busy
लाकर,by bringing
राव,Rao
योजनाओं,plans
मंत्र,mantra
बताने,tell
बताते,tells
प्रश्नों,questions
पकड़ा,caught
नोट,Note
निवेदन,Request
न्याय,Justice
धूल,dust
दाने,rash
दान,Donation
देवीगढ़,Devigarh
तरल,liquid
कोरियाई,Korean
किलोमीटर,kilometers
किताब,Book
क्षमा,Forgiveness
इंजन,engine
आए,Returns
असफल,fail
हल्की,light
सावित्री,Savitri
सरदार,Sardar
सगर्भता,pregnancy
शुभ,auspicious
लहर,Wave
लेखा,accounting
मासिक,monthly
मद्रास,Madras
मंगल,Fortunate
भली,well
भेजने,send
बिजलीघर,Electricity house
बनाता,makes
पवित्र,Holy
परिषद,council
परि,fairy
पूछा,Asked
नौकर,Servant
निकालकर,by removing
नासिक्य,nasikya
तापमान,temperature
तरीका,Method
झूठ,Lie
जाती,caste
छुट्टी,Holiday
घाट,pier
गोबर,Cow dung
कामों,chores
कश्मीर,Kashmir
ऊंची,high
उन्नत,advanced
आजाद,Azad
आग्रह,request
अमृतसर,Amritsar
अनु,Anu
अद्भुत,Wonderful
अतः,Therefore
सिखों,Sikhs
साधु,Saint
संदेश,Message
लिखित,written
लेप,coating
मर्यादा,dignity
मेज,table
मुख्यतः,mainly
भाजपा,B J P
बेकार,Useless
पैदावार,yield
नाश,Destruction
दलों,parties
जापान,Japan
गोपाल,Gopal
कोशिकाओं,cells
काटने,bite
कूद,jump
उपदेश,Sermon
उड़ान,flight
अंतरिक्ष,space
सहसा,Suddenly
व्यास,Diameter
मित्रों,friends
भोग,indulgence
बुला,Call
प्रातः,in the morning
पढ़ा,read
पढ़ते,read
घोड़ा,Horse
गुफा,Cave
खुल,open
खुराक,diet
उपायों,measures
उपयोगिता,utility
इलाज,Treatment
आवाज़,sound
आलू,Potato
हटा,Remove
स्वस्तिक,swastika
समीक्षा,Review
संक्रमण,Infection
सैकड़ों,hundreds
शोर,Noise
शब्दावली,vocabulary
यौगिक,compound
मना,deny
मंडल,Board
बचने,avoid
प्रेमनाथ,Premnath
परम,Supreme
निधि,Fund
नेताजी,Netaji
चुनौती,challenge
गौतम,Gautam
खिड़की,window
किस्में,Varieties
करते,Do
कटाई,harvesting
असाधारण,Extraordinary
स्मरण,remembrance
समग्र,overall
सुनी,listened to
रेडियो,radio
मामूली,minor
बीमार,Sick
फायदा,Benefit
पुराणों,Puranas
प्रस्तावों,proposals
प्रधानता,primacy
पन्द्रह,fifteen
नाव,boat
तुल्फ,tulf
तत्काल,Immediately
जोड़ा,couple
चाल,move
चूहे,mice
चलना,Walking
गाया,sang
गला,throat
खैर,well
कोर्ट,court
कराना,to make
कंपनी,company
इसने,it has
इनको,to these
अर्थव्यवस्था,economy
अंचल,Zone
हल्का,Light
सुनिश्चित,ensure
वरना,Otherwise
बुनियादी,basic
दैनिक,daily
जुड़े,connected
घुस,entered
खुली,open
कुमार,Kumar
कुमाऊँ,Kumaon
आंगन,Courtyard
